surrogate_key,natural_key,customer_region,customer_city,customer_state,valid_from,valid_to,is_current
01adf9b7-e580-4cdf-98be-9e64782ae8a4,861eff4711a542e4b93843c6dd7febb0,sudeste,franca,SP,2026-07-04,,True
6e9e884c-1546-47d1-b2c3-189c324537dd,290c77bc529b7ac935b93aa66c333dc3,sudeste,sao bernardo do campo,SP,2026-07-04,,True
9e91870a-08fa-44d2-9634-ccd46e9e1116,060e732b5b29e8181a18229c7b0b2b5e,sudeste,sao paulo,SP,2026-07-04,,True
4de4a67d-a61e-47f8-8061-e6bd638b7c70,259dac757896d24d7702b9acbbff3f3c,sudeste,mogi das cruzes,SP,2026-07-04,,True
d7c93bb7-4154-445f-abf1-d17adc34cad9,345ecd01c38d18a9036ed96c73b8d066,sudeste,campinas,SP,2026-07-04,,True
c8d11e57-8849-4165-bd56-e8b461dc2c2f,4c93744516667ad3b8f1fb645a3116a4,sul,jaragua do sul,SC,2026-07-04,,True
c76dfa3b-e1f3-4ace-a153-b0da65163db5,addec96d2e059c80c30fe6871d30d177,sudeste,sao paulo,SP,2026-07-04,,True
5b1e0fbc-3e7e-47c1-8542-ebfda225776a,57b2a98a409812fe9618067b6b8ebe4f,sudeste,timoteo,MG,2026-07-04,,True
fd0d72b5-ac15-4dfb-a7fd-03ddeb7827ac,1175e95fb47ddff9de6b2b06188f7e0d,sul,curitiba,PR,2026-07-04,,True
348f16aa-d916-4848-932e-b6e60bdf4639,9afe194fb833f79e300e37e580171f22,sudeste,belo horizonte,MG,2026-07-04,,True
2aa9c086-5680-4c31-9c77-dd9d4eb25c07,2a7745e1ed516b289ed9b29c7d0539a5,sudeste,montes claros,MG,2026-07-04,,True
a46a21a0-6f98-4aa1-820c-7108e5cf3d47,2a46fb94aef5cbeeb850418118cee090,sudeste,rio de janeiro,RJ,2026-07-04,,True
544bcd8c-4c9a-476f-8c2b-2d8192f8dac9,918dc87cd72cd9f6ed4bd442ed785235,sudeste,lencois paulista,SP,2026-07-04,,True
5f47beba-3fca-4474-838e-b5c4d8a7ecd2,295c05e81917928d76245e842748184d,sudeste,sao paulo,SP,2026-07-04,,True
fa3ea032-edd2-44ce-9355-286b46f5ba0e,3151a81801c8386361b62277d7fa5ecf,sul,caxias do sul,RS,2026-07-04,,True
03a0298f-6797-4a9a-9b68-97c615090fb3,21f748a16f4e1688a9014eb3ee6fa325,sudeste,piracicaba,SP,2026-07-04,,True
3e6091dc-0e23-4ebf-a30d-6f461827e505,5c2991dbd08bbf3cf410713c4de5a0b5,sudeste,rio de janeiro,RJ,2026-07-04,,True
91e5c3db-23b2-41c5-848a-6c4cf8650196,b6e99561fe6f34a55b0b7da92f8ed775,sudeste,guarulhos,SP,2026-07-04,,True
46652d7b-d8fb-47ec-bb88-6597dcf6f391,7f3a72e8f988c6e735ba118d54f47458,sudeste,sao paulo,SP,2026-07-04,,True
9e3b8a49-fe7c-4b02-8ac7-b74dcb9d2097,3e6fd6b2f0d499456a6a6820a40f2d79,norte,pacaja,PA,2026-07-04,,True
138b74ca-3b5b-443a-a941-16df978a2bec,e607ede0e63436308660236f5a52da5e,sul,florianopolis,SC,2026-07-04,,True
cbc086d5-83f9-4de2-a4c6-85d01c580dab,a96d5cfa0d3181817e2b946f921ea021,centro_oeste,aparecida de goiania,GO,2026-07-04,,True
7eec3b0d-29f0-45fa-a5e4-03c9763d5715,482441ea6a06b1f72fe9784756c0ea75,sudeste,sao paulo,SP,2026-07-04,,True
10e924c2-a44b-4c29-9c89-31f43f3bf7fa,4390ddbb6276a66ff1736a6710205dca,sul,curitiba,PR,2026-07-04,,True
451c0311-c28d-4b6c-840b-b3dfd53b0a75,a5844ba4bfc8d0cc61d13027c7e63bcc,sudeste,sao paulo,SP,2026-07-04,,True
43d143d2-0785-4707-87c3-c587d52f8856,5f102dd37243f152aec3607970aad100,sudeste,santo andre,SP,2026-07-04,,True
8793a5ab-e7b4-4906-a154-ff21daa8e22e,9c0096673baf55453a50073f12d1a37f,centro_oeste,goiania,GO,2026-07-04,,True
5fe7f0f1-4de2-41f0-8783-bfc710401093,2e6a42a9b5cbb0da62988694f18ee295,sudeste,sao paulo,SP,2026-07-04,,True
59bfdae3-59e5-44d8-ac85-74e16a6d0e76,4d221875624017bc47b4d1ce7314a5b7,sudeste,cachoeiro de itapemirim,ES,2026-07-04,,True
11d454c5-9000-4a32-8155-e16c36bf88b5,a8654e2af5da6bb72f52c22b164855e1,sudeste,sao paulo,SP,2026-07-04,,True
8ba0842a-8931-46b0-96f0-106e8f5d2101,424aca6872c5bab80780a8dec03b7516,sudeste,sao jose dos campos,SP,2026-07-04,,True
23cbd21a-5b04-47ef-8bfe-10c7a49559e8,bf4862777db128507e9efcc789215e9b,sudeste,sao roque,SP,2026-07-04,,True
721d4b6a-8364-4335-a522-c727f2afdaf7,e9dd12dca17352644a959d9dea133935,nordeste,camacari,BA,2026-07-04,,True
a359ebf4-6f55-4ab9-bed0-6de360b52cb8,e079b18794454de9d2be5c12b4392294,sudeste,resende,RJ,2026-07-04,,True
f5f494c1-fca6-4023-bb1a-3b314f37e796,ef07ba9aa5226f77264ffa5762b2280b,sul,curitiba,PR,2026-07-04,,True
